"Name","Id","Version","Available","Source"
"Messenger","c1b3adcf-2068-5e8d-b25d-30ce588e3a4c","208.0.580469446","",""
"CurseForge 0.244.5-16323","Overwolf.CurseForge","0.244.5-16323","","winget"
"eID Web Browser Middleware","eID Web Browser Middleware","1.4.2","",""
"jq","jqlang.jq","1.7.1","","winget"
"fzf","junegunn.fzf","0.50.0","","winget"
"Courrier et calendrier","microsoft.windowscommunicationsapps_…","16005.14326.21888.0","",""
"bat","sharkdp.bat","0.24.0","","winget"
"WinSCP 6.1.2","WinSCP.WinSCP","6.1.2","6.3.3","winget"
"Realtek USB Ethernet Controller All-…","{04201224-2B34-4EE7-862B-B7BBF89DB3A…","11.10.20.1104","",""
"Microsoft Visual C++ 2013 Redistribu…","Microsoft.VCRedist.2013.x64","12.0.30501.0","12.0.4066…","winget"
"Microsoft ODBC Driver 17 for SQL Ser…","{0E0F96AC-80DE-4400-A40C-429D6329365…","17.10.6.1","",""
"Canon G6000 series MP Drivers","{1199FAD5-9546-44f3-81CF-FFDB8040B7B…","1.01","",""
"Microsoft ASP.NET Core 7.0.18 - Shar…","Microsoft.DotNet.AspNetCore.7","7.0.18","","winget"
"Microsoft Visual C++ 2010  x86 Redis…","Microsoft.VCRedist.2010.x86","10.0.30319","10.0.40219","winget"
"Brother MFL-Pro Suite ADS-2600W","{1F4F8934-FD9B-4BF7-9798-3C38A150824…","3.0.6.0","",""
"Webex","Cisco.Webex","43.11.0.27795","44.4.0.29…","winget"
"Path of Exile","{1c80c88e-0b81-4aeb-95a9-0e27531ce5e…","3.23.0.32564","",""
"Python Launcher","Python.Launcher","3.12.0","","winget"
"Microsoft Visual C++ 2012 Redistribu…","Microsoft.VCRedist.2012.x86","11.0.61030.0","","winget"
"Microsoft SQL Server 2019 LocalDB","{36E492B8-CB83-4DA5-A5D2-D99A8E8228A…","15.0.4153.1","",""
"Go Programming Language amd64 go1.22…","GoLang.Go","1.22.2","","winget"
"Microsoft .NET SDK 8.0.204 (x64) fro…","{3A83820E-867F-45B3-9FA4-3D513A9079E…","8.2.424.17037","",""
"Win32DiskImager version 1.0.0","Win32diskimager.win32diskimager","1.0.0","","winget"
"starship","Starship.Starship","1.18.2","","winget"
"VirtViewer 11.0-256 (64-bit)","RedHat.VirtViewer","11.0.256","","winget"
"Windows Software Development Kit - W…","Microsoft.WindowsSDK.10.0.19041","10.1.19041.685","","winget"
"Microsoft Visual C++ 2015-2022 Redis…","Microsoft.VCRedist.2015+.x64","14.38.33135.0","","winget"
"Microsoft Visual C++ 2008 Redistribu…","{4B6C7001-C7D6-3710-913E-5BC23FCE91E…","9.0.30729.4148","",""
"Wondershare Helper Compact 2.6.0","{5363CE84-5F09-48A1-8B6C-6BB590FFEDF…","2.6.0","",""
"Keyviz version 1.0.6","mulaRahul.Keyviz","1.0.6","","winget"
"Realtek Card Reader","{5BC2B5AB-80DE-4E83-B8CF-426902051D0…","10.0.22621.21366","",""
"Microsoft System CLR Types for SQL S…","Microsoft.CLRTypesSQLServer.2019","15.0.2000.5","","winget"
"Microsoft Visual C++ 2008 Redistribu…","Microsoft.VCRedist.2008.x64","9.0.30729.6161","","winget"
"Neovim","Neovim.Neovim","0.9.5","","winget"
"GoPro Webcam","{6C6C979F-E6DF-4D6C-B190-2673030651B…","1.2.2.867","",""
"Microsoft Visual Studio Installer","{6F320B93-EE3C-4826-85E0-ADF79F8D4C6…","3.9.2180.11832","",""
"OneCommander","MilosParipovic.OneCommander","3.68.3","3.78.2","winget"
"Wondershare PDFelement(Build 7.6.6)","Wondershare.PDFelement.7","7.6.6.4995","7.6.10.50…","winget"
"Microsoft Visual Studio Code (User)","Microsoft.VisualStudioCode","1.88.1","","winget"
"GitHub CLI","GitHub.cli","2.39.2","2.48.0","winget"
"Microsoft .NET Framework 4.8 Targeti…","{7D846F37-3C30-47C5-BCEA-2929EE09BE9…","4.8.04084","",""
"Killer Performance Driver Suite UWD","{7E258447-8A66-4DAB-83D2-8A4AE825D6C…","34.23.7186","",""
"Logi Options+","Logitech.OptionsPlus","1.70.551909","","winget"
